model_id,n_years,наклон_MAE_в_год,корреляция_MAE,p_MAE,наклон_отн_ошибка_в_год,корреляция_отн_ошибка,p_отн_ошибка
ar_only,8,0.17997,0.7019,0.0523,-0.00094,-0.0627,0.8827
midas_almon,8,0.28108,0.5319,0.1748,0.00536,0.2483,0.5532
midas_beta,8,0.26288,0.592,0.1221,0.00437,0.2423,0.5631
midas_umidas,8,0.22613,0.5236,0.183,0.00265,0.1648,0.6965
naive_prev_year,8,0.43021,0.7197,0.0441,0.00886,0.4755,0.2337
seasonal_within,8,0.17795,0.5003,0.2067,0.00101,0.0684,0.8722
