region,year,yield_c_ha,sown_area_grain_kha,sown_area_total_kha,gross_harvest_kt,fert_mineral_kg_ha,fert_organic_t_ha,yield_lag_1,yield_lag_2,yield_lag_3,sown_area_lag_1,yield_roll_mean_3,yield_roll_mean_5,yield_lag1_vs_norm,grain_share_lag_1,sown_area_change_1,fert_mineral_lag_1,fert_organic_lag_1,t2m_season_mean,t2m_season_min,t2m_season_max,swvl1_season_mean,swvl1_season_min,swvl1_season_max,tp_season_sum,ssrd_season_sum,pev_season_sum,season_months_available,t2m_apr,swvl1_apr,tp_apr,ssrd_apr,pev_apr,t2m_may,swvl1_may,tp_may,ssrd_may,pev_may,t2m_jun,swvl1_jun,tp_jun,ssrd_jun,pev_jun,t2m_jul,swvl1_jul,tp_jul,ssrd_jul,pev_jul,t2m_aug,swvl1_aug,tp_aug,ssrd_aug,pev_aug,t2m_sep,swvl1_sep,tp_sep,ssrd_sep,pev_sep,water_balance_season_mm,aridity_index_season,n_months_above_15c,n_months_below_5c,gdd_base10_season
Алтайский край,2000,13.8,3414.99,5329.87,4408.135,2.2,0.2,,,,,,,,,,,,14.168329176859904,5.533680781111798,18.692927091683718,0.3445269969752909,0.2810677448662442,0.4106139326875898,409.3996003729529,3404.173366089341,1721.0419736720196,6,5.533680781111798,0.4106139326875898,37.410779234319705,543.0705825829278,220.56833799303976,12.528262284560242,0.3935975821763738,105.4249068485076,592.0830320176914,281.22225516813086,18.06861524214952,0.3661962388522431,100.18004271729444,649.9505871561256,319.2104607135097,18.692927091683718,0.2810677448662442,43.94999897806283,681.6617838850067,345.38451545945526,18.47538840063163,0.3031056811987747,76.45125723308408,545.8401986121185,296.6161789005966,11.71110126102252,0.3125808020705198,45.98261536168423,391.567181835471,258.04022543728746,-1311.6423732990668,4.203819378680861,3,0,903.9854061783044
Алтайский край,2001,13.4,3661.99,5376.63,4798.058999999999,1.6,0.2,13.8,,,3414.99,,,,0.6407266968987986,,2.2,0.2,14.182759843117983,2.950748149023184,19.252829439752876,0.3363748961241569,0.284826158053682,0.4259199018448868,354.5271300215213,3455.669703884122,1729.6302904140523,6,2.950748149023184,0.4259199018448868,57.03399017472142,533.1303249181778,174.8795128208723,15.707537952475434,0.3452036949134094,46.85797143208229,710.3390214789916,363.5214651971463,18.468763994084497,0.3259141087690216,80.82740385211387,642.7471751437416,326.16324235068544,17.575522769757583,0.3306780700818567,81.05951913450492,606.1452817151703,289.82288407862893,19.252829439752876,0.284826158053682,48.21035247082933,589.1786687262274,353.130928891942,11.141156753614323,0.3057074430820848,40.53789295726948,374.1292319018133,222.1122570747773,-1375.103160392531,4.878696562119396,4,1,986.9102174525274
Алтайский край,2002,13.0,3728.36,5424.2,4749.871,1.5,0.2,13.4,13.8,,3661.99,,,,0.6810939194253649,0.07232817665644697,1.6,0.2,13.725982184159156,2.472169761202224,18.369716002149232,0.3553336985814577,0.3068853190176153,0.4135239747497478,440.58992999419655,3397.9492513631135,1620.1622962444192,6,2.472169761202224,0.4135239747497478,35.00819304786633,546.9607796550199,208.52609302342756,13.351219015952438,0.3260799443389609,49.50932229319995,698.068995882353,373.6718538283564,17.405536107329453,0.3708295927591842,144.49415999175946,619.1765636974791,268.0661915506952,17.863009639505492,0.3886154896914564,116.42614384066462,579.7140634153029,232.05404282472975,18.369716002149232,0.3068853190176153,49.77964327128152,578.6163890358248,295.2343835826998,12.89424257881609,0.3260678709317814,45.37246754942466,375.412459677134,242.6097314345104,-1179.5723662502226,3.6772567549734054,3,1,916.0956449701883
Алтайский край,2003,10.9,3427.81,5146.13,3231.803,1.3,0.2,13.0,13.4,13.8,3728.36,13.4,,,0.6873566608900852,0.018124025461565996,1.5,0.2,13.98650273116804,1.6154516531376544,19.637397895013294,0.3252918772618011,0.2716062765952392,0.4218948681446263,303.9795109500766,3495.138797616099,1721.3515720533248,6,1.6154516531376544,0.4218948681446263,32.0586773376343,536.333743175586,160.31606196170887,13.57977714420474,0.3447920990327668,42.120479514169695,679.8213922282176,336.1358617501204,19.637397895013294,0.3024032370066653,61.92552394631958,705.1935446616542,343.3035189522309,18.30083681601752,0.326356330206836,93.78418436599132,592.3673410384785,283.7263517763856,18.20866525372486,0.2716062765952392,23.950724144458395,598.6674358841221,334.4535836039629,12.57688762491017,0.2846984525846728,50.13992164150327,382.7553406280407,263.4161940089162,-1417.3720611032481,5.66272235478406,3,1,989.1962212300646
Алтайский край,2004,10.9,3436.14,5112.14,3606.193,1.2,0.2,10.9,13.0,13.4,3427.81,12.433333333333332,,,0.6660947158350061,-0.08061185078694122,1.3,0.2,14.16548276370069,2.925797106723053,19.32104747018053,0.3331365313973554,0.2725136177774975,0.4357776194744962,392.0483760904786,3412.9122613914196,1772.603654363207,6,2.925797106723053,0.4357776194744962,89.92897895997253,449.0368825210084,160.3919419236333,15.289958466939424,0.3297181835959096,36.86229134541151,713.4516063547103,384.0627190663138,19.32104747018053,0.2725136177774975,63.664358807830666,699.698688137992,385.2110172217001,19.164117958038503,0.3327900727519626,73.23401296994871,632.9055544166298,301.34298281364346,17.130175176567377,0.2966908079920907,67.07651789799787,571.6157379000442,314.44477011795226,11.161800403755253,0.3313288867921757,61.2822161093173,346.20379206103496,227.1502232199641,-1380.5552782727284,4.521390120371568,4,1,983.597235865978
Алтайский край,2005,8.8,3609.2,5191.3,2952.6,1.6,0.2,10.9,10.9,13.0,3436.14,11.600000000000001,12.4,-1.5,0.6721529535576098,0.0024301230231547066,1.2,0.2,14.619699958262535,4.508533378914933,21.259226118490176,0.3179520172969475,0.2948393385160396,0.4108110079455301,329.94745350508987,3549.425861821318,1869.8825844090263,6,4.508533378914933,0.4108110079455301,46.1865123721768,531.250178982751,201.62318661406945,12.420505674514914,0.2976729314130051,32.94238368445364,701.8294579708094,394.1855253581714,18.978402851683484,0.2967594961632885,68.78426988392472,709.4037866430783,387.193535754028,21.259226118490176,0.2948393385160396,76.68320191031414,680.6256576267139,338.04941435386945,18.656003224686287,0.3040732139509792,64.56444383010763,536.5584473427687,308.4907961473007,11.895528501285412,0.3035561157928426,40.78664182411294,389.7583332551968,240.3401261815873,-1539.9351309039364,5.667213262429925,3,1,1018.6257261374996
Алтайский край,2006,10.4,3414.95,5129.14,3519.5080000000003,1.8,0.2,8.8,10.9,10.9,3609.2,10.200000000000001,11.400000000000002,-2.6000000000000014,0.6952401132664264,0.0503646533610389,1.6,0.2,13.563809760643588,1.3607380842962584,20.8638839458481,0.32757228450333664,0.2604361073942323,0.4201516476630743,361.71798512452557,3428.136473309155,1742.7500619205791,6,1.3607380842962584,0.4201516476630743,72.76395240745869,444.4393971163202,142.12623935510817,10.545054861994174,0.3432076482422739,32.89022356774683,683.3842712030076,360.3417682949551,20.8638839458481,0.2604361073942323,50.08869954916842,733.1873501105705,391.1180105859439,19.65214448546692,0.3378194870541761,114.10255935832927,626.9855786643078,284.07231701495954,15.956624773675912,0.314313278636907,65.46183871670142,526.6914540521892,272.1535659822306,13.004412412580166,0.2895055380293564,26.410711525120945,413.4484221627598,292.93816068738187,-1381.0320767960536,4.817980121504374,3,1,916.8174385080952
Алтайский край,2007,13.2,3576.55,5171.22,4700.505999999999,1.7,0.3,10.4,8.8,10.9,3414.95,10.033333333333333,10.8,-0.40000000000000036,0.6657938757764459,-0.05382079131109385,1.8,0.2,14.935071314581572,7.850003698282364,21.60023561028032,0.33747820802868844,0.2588755267217907,0.404150030244931,387.48827963156987,3439.5704710499776,1744.8360141480407,6,7.850003698282364,0.404150030244931,23.906526164149565,543.5398808757186,234.520981687194,13.217946052804391,0.365428339111652,116.01384923896764,609.244879222468,350.0851587990067,16.27686233621739,0.3565375940929414,91.34691053311916,647.1025611322424,303.0915589643126,21.60023561028032,0.3355050641633092,80.13549381597252,677.0486084573198,311.6648935312088,17.298323603701363,0.3043726938375062,51.20556656764376,557.2112627908004,290.4493762447949,13.367056586203605,0.2588755267217907,24.87993331171724,405.42327857142857,255.02404492152368,-1357.3477345164708,4.502938813548268,3,0,974.9292309429982
Алтайский край,2008,11.3,3781.67,5412.2,3857.543,2.3,0.2,13.2,10.4,8.8,3576.55,10.800000000000002,10.84,2.3599999999999994,0.691625960605041,0.04732133706203623,1.7,0.3,14.424387219808798,4.51103436260405,21.72456365667159,0.3174766552899943,0.2789890739781727,0.3946169583684625,318.9962926743812,3439.4931434763375,1833.2201176607625,6,4.51103436260405,0.3946169583684625,51.449736099247815,538.3160383812472,244.8108682902394,13.977683387294064,0.3168405147317973,27.84496753802276,674.8151831977001,355.4131012115,19.106004174901894,0.2798604918812714,53.20819908139708,670.8837364617425,365.7114903505584,21.72456365667159,0.2789890739781727,60.29113920474296,681.5588126890756,368.11674442941353,17.609925541968437,0.2943432760259737,66.59380050648122,528.4608292746572,315.4748762566028,9.617112195412744,0.340209616754288,59.608450244489376,345.4585434719151,183.6930371224485,-1514.2238249863813,5.746838316807779,3,1,995.8574754110136
Алтайский край,2009,15.3,3803.97,5455.28,5627.904,3.5,0.2,11.3,13.2,10.4,3781.67,11.633333333333333,10.92,0.3800000000000008,0.6987306455785078,0.05735135815240944,2.3,0.2,13.642321827284073,5.518005665336659,19.08328840685124,0.34662222690011446,0.3250553176657176,0.4118044084281533,399.8250258169841,3380.534466932331,1652.5575024879436,6,5.518005665336659,0.4118044084281533,39.24189911311272,502.3457043078283,201.4631689029792,12.981842308263763,0.3417154453012702,62.23045078171923,671.3178149146395,369.688906207226,15.11917697074722,0.3379031640668191,75.34480932564506,604.3953761079168,297.3047540099259,19.08328840685124,0.3275444641518202,100.34875316592324,655.8527442229102,301.9817888123806,17.327507316660217,0.3357105617869064,81.05464870234138,560.5931937921274,267.4277664377646,11.824110295845344,0.3250553176657176,41.60446472824249,386.02963358690846,214.69111811766737,-1252.7324766709594,4.133201765225134,3,0,809.4703969828088
