region,year,month,t2m_c,swvl1_m3m3,ssrd_mj_m2,tp_mm,pev_mm
Алтайский край,2000,4,5.533680781111798,0.41061393268758983,543.0705825829278,37.410779234319705,220.56833799303976
Алтайский край,2000,5,12.528262284560242,0.39359758217637386,592.0830320176914,105.4249068485076,281.22225516813086
Алтайский край,2000,6,18.06861524214952,0.36619623885224317,649.9505871561256,100.18004271729443,319.2104607135097
Алтайский край,2000,7,18.692927091683714,0.2810677448662442,681.6617838850067,43.94999897806283,345.38451545945526
Алтайский край,2000,8,18.47538840063163,0.30310568119877473,545.8401986121185,76.45125723308408,296.6161789005966
Алтайский край,2000,9,11.71110126102252,0.3125808020705198,391.567181835471,45.982615361684225,258.04022543728746
Алтайский край,2001,4,2.950748149023184,0.4259199018448868,533.1303249181778,57.03399017472142,174.8795128208723
Алтайский край,2001,5,15.707537952475434,0.34520369491340946,710.3390214789916,46.85797143208229,363.52146519714626
Алтайский край,2001,6,18.468763994084497,0.3259141087690216,642.7471751437416,80.82740385211387,326.16324235068544
Алтайский край,2001,7,17.575522769757583,0.33067807008185673,606.1452817151703,81.05951913450492,289.82288407862893
Алтайский край,2001,8,19.252829439752873,0.284826158053682,589.1786687262274,48.21035247082933,353.130928891942
Алтайский край,2001,9,11.141156753614325,0.3057074430820848,374.12923190181334,40.53789295726948,222.11225707477726
Алтайский край,2002,4,2.472169761202224,0.4135239747497478,546.9607796550199,35.00819304786633,208.52609302342753
Алтайский край,2002,5,13.351219015952438,0.3260799443389609,698.068995882353,49.50932229319995,373.67185382835635
Алтайский край,2002,6,17.405536107329453,0.37082959275918426,619.1765636974791,144.49415999175946,268.0661915506952
Алтайский край,2002,7,17.863009639505492,0.3886154896914564,579.7140634153029,116.42614384066462,232.05404282472978
Алтайский край,2002,8,18.369716002149232,0.3068853190176153,578.6163890358248,49.77964327128152,295.2343835826998
Алтайский край,2002,9,12.89424257881609,0.3260678709317814,375.412459677134,45.37246754942466,242.60973143451037
Алтайский край,2003,4,1.6154516531376544,0.4218948681446263,536.333743175586,32.0586773376343,160.31606196170887
Алтайский край,2003,5,13.57977714420474,0.34479209903276686,679.8213922282176,42.120479514169695,336.1358617501204
Алтайский край,2003,6,19.637397895013294,0.3024032370066653,705.1935446616542,61.92552394631958,343.3035189522309
Алтайский край,2003,7,18.300836816017522,0.326356330206836,592.3673410384785,93.78418436599132,283.7263517763856
Алтайский край,2003,8,18.20866525372486,0.2716062765952392,598.6674358841221,23.950724144458395,334.4535836039629
