horizon_k,horizon_label,model_id,n,mae,rmse,r2,bias,mape
1,периоды 1–1 из 23,midas_umidas,531,4.066578922037979,5.497442803376604,0.8139582852074911,0.2988570391733523,16.050557804417693
1,периоды 1–1 из 23,seasonal_within,531,4.066578922037979,5.497442803376604,0.8139582852074911,0.2988570391733523,16.050557804417693
1,периоды 1–1 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
1,периоды 1–1 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
2,периоды 1–2 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
2,периоды 1–2 из 23,seasonal_within,531,4.110264299889086,5.531148522867435,0.8116699874196835,0.4247742445579035,16.251218128939563
2,периоды 1–2 из 23,midas_umidas,531,4.148084869034303,5.5833276148901945,0.8080999365032417,0.4156925696170686,16.349790484368622
2,периоды 1–2 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
3,периоды 1–3 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
3,периоды 1–3 из 23,midas_umidas,531,4.140451930184434,5.564180158904656,0.8094138832334696,0.5344050532359709,16.396069436062767
3,периоды 1–3 из 23,seasonal_within,531,4.139034157621262,5.571589344430544,0.8089059816142524,0.5017220795485986,16.36980631933555
3,периоды 1–3 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
4,периоды 1–4 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
4,периоды 1–4 из 23,seasonal_within,531,4.140146840453335,5.553293316631451,0.8101589529772631,0.44821567646072025,16.418208929622487
4,периоды 1–4 из 23,midas_umidas,531,4.168005699192992,5.559022550375804,0.8097670396667471,0.5811009414176783,16.570400452505805
4,периоды 1–4 из 23,midas_almon,531,4.173089993974453,5.5988315458833995,0.8070327105183904,0.4843480772292753,16.43824122983479
4,периоды 1–4 из 23,midas_beta,531,4.192035043607428,5.614234606829085,0.8059694974333232,0.477829850082591,16.513353027157866
4,периоды 1–4 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
5,периоды 1–5 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
5,периоды 1–5 из 23,seasonal_within,531,4.1497866769141805,5.550183027358617,0.8103715458247225,0.43733948247795357,16.553155349609042
5,периоды 1–5 из 23,midas_almon,531,4.196200920103801,5.5915663934545865,0.8075331817935846,0.44936109217095643,16.593423101543667
5,периоды 1–5 из 23,midas_umidas,531,4.213058555496866,5.617622914314957,0.8057352238632834,0.538788573997593,16.697695260713537
5,периоды 1–5 из 23,midas_beta,531,4.191000837880412,5.623635466247245,0.8053191574438413,0.465812371503318,16.60905861799212
5,периоды 1–5 из 23,naive_prev_year,531,4.838522339353749,6.373731447514922,0.7499214650506902,-0.8188683056794928,18.101749275540403
6,периоды 1–6 из 23,ar_only,531,4.1450259660986415,5.518874425975363,0.8125049011862105,0.3300634680670915,16.547464554728606
6,периоды 1–6 из 23,midas_umidas,531,4.128649073088175,5.543431055317295,0.8108326431297217,0.3911460244045592,16.27884922234932
