model_id,year,abs_error,rel_error
ar_only,2018,3.8075024045047376,0.18674914339887985
ar_only,2019,2.9633808718282117,0.12088092488753577
ar_only,2020,3.8924097429945155,0.14190616091429042
ar_only,2021,4.572308495121943,0.24109872551119055
ar_only,2022,4.640789746721557,0.16073756087814414
ar_only,2023,3.9328990791319245,0.1537818065861182
ar_only,2024,4.871726565014206,0.17567824899525958
ar_only,2025,4.576851307653439,0.14267998958190514
midas_almon,2018,2.9709584156087967,0.14214948323795826
midas_almon,2019,2.497031041169754,0.09366144409052433
midas_almon,2020,2.890232727678124,0.10681788366854544
midas_almon,2021,3.69356744515352,0.19354231013847337
midas_almon,2022,4.60103978578199,0.16025395626688824
midas_almon,2023,2.4905786782814454,0.08830877795630257
midas_almon,2024,6.316265466267775,0.23887865917215212
midas_almon,2025,3.657500577308624,0.11538387639742285
midas_beta,2018,2.914484095945864,0.14011841317581109
midas_beta,2019,2.5062153082476195,0.09310692715499523
midas_beta,2020,2.8640088638243477,0.10549439200829179
midas_beta,2021,3.593907526816495,0.18810518216838562
midas_beta,2022,4.683226960166642,0.16352177716201635
midas_beta,2023,2.7437289576670505,0.09543755549604838
midas_beta,2024,5.6376462747521305,0.20987741552576553
midas_beta,2025,3.728271369873425,0.11695313698546655
midas_umidas,2018,3.0163344166271417,0.14367771322581344
midas_umidas,2019,3.1845583574170124,0.12746513977914697
midas_umidas,2020,2.9368423340673266,0.11358449385226205
midas_umidas,2021,3.4938824294420607,0.16953029160616345
midas_umidas,2022,4.233356288720308,0.14556135361951777
midas_umidas,2023,2.8666327474566162,0.10260946728398591
midas_umidas,2024,6.044204386980538,0.22422091351875387
midas_umidas,2025,3.6117378151947688,0.1144953255918476
naive_prev_year,2018,3.371014492753623,0.153741079199743
naive_prev_year,2019,3.0701492537313433,0.11421168404977118
naive_prev_year,2020,4.107142857142857,0.1503913284721996
naive_prev_year,2021,5.424242424242424,0.24724570115882535
naive_prev_year,2022,7.003585947688436,0.23624055790231752
naive_prev_year,2023,4.014117117852343,0.16039255058592952
naive_prev_year,2024,5.574368115835212,0.1993201402442133
naive_prev_year,2025,6.5590985626155645,0.1964994545536094
seasonal_within,2018,3.4293330027320788,0.16938537647831384
seasonal_within,2019,2.704481013627791,0.09986396879385866
seasonal_within,2020,3.2569623357860493,0.12326509889119429
seasonal_within,2021,3.524128069429439,0.1756951909929253
seasonal_within,2022,4.642105662411165,0.16167985159148798
seasonal_within,2023,2.945207112003022,0.11513101606699293
seasonal_within,2024,5.3021149298731665,0.20017797350813704
seasonal_within,2025,3.683213306861528,0.11532415737698433
