horizon_k,horizon_label,model_id,n,mae,rmse,r2,bias,mape,ss_vs_ar_%,прирост_к_пред_отсечке_%
1,периоды 1–1 из 6,midas_umidas,645,4.224047580877168,5.582044106961212,0.813559285343324,0.8515283100879585,17.731429091976686,-3.24,
2,периоды 1–2 из 6,midas_umidas,645,4.350583583132729,5.864535304707833,0.7942113388793633,-0.2788791077422641,17.002347457665337,-8.47,-5.23
3,периоды 1–3 из 6,midas_umidas,645,4.059173869016587,5.507844041589582,0.8184829184728406,-0.00944673592019069,15.945054657804544,-1.87,6.6
4,периоды 1–4 из 6,midas_almon,645,3.606860684693831,5.039873857797172,0.8480175067339357,0.25353761581082357,14.454975051681036,6.79,8.66
5,периоды 1–5 из 6,midas_beta,645,3.5437546743858914,4.987353119522437,0.851168633679946,0.10178221132702472,14.069327147844715,7.76,0.97
6,периоды 1–6 из 6,midas_beta,645,3.662868762407544,5.102885091453024,0.8441934148557907,0.2489132863852158,14.749277222101597,5.62,-2.14
