model_id,year,abs_error,rel_error
ar_only,2017,3.392177393555801,0.15195449658976312
ar_only,2018,3.913315934311733,0.1940444801614075
ar_only,2019,2.8984322369661157,0.12796098387256855
ar_only,2020,3.7052809062877667,0.14046331892118338
ar_only,2021,4.8400971174399245,0.24686947515595511
ar_only,2022,4.3485800381058,0.14977415596372812
ar_only,2023,3.994516600040882,0.16229921263112942
ar_only,2024,5.182748890079701,0.1924273276661124
ar_only,2025,4.471879432053151,0.15270566217910542
midas_almon,2017,3.7370553768829984,0.1691848583938272
midas_almon,2018,3.4294550394962027,0.17299488250134196
midas_almon,2019,2.4470516501238015,0.10205807607901038
midas_almon,2020,3.102512983519203,0.11858674267571992
midas_almon,2021,4.252794406078878,0.2008719458412845
midas_almon,2022,4.279287261137873,0.14220854885164147
midas_almon,2023,3.8846744537900553,0.1556806980270904
midas_almon,2024,3.768402055710527,0.12530831964342262
midas_almon,2025,4.7740200554178385,0.16170329687437596
midas_beta,2017,3.85875175229844,0.17366411840806856
midas_beta,2018,3.2700442001269803,0.16506869685494774
midas_beta,2019,2.527311371351059,0.10510710709251109
midas_beta,2020,3.051692298283568,0.11836570153296185
midas_beta,2021,4.619018057839761,0.21921365437277704
midas_beta,2022,3.7579309205266336,0.12873595350719794
midas_beta,2023,3.3138653183101097,0.1267549014700239
midas_beta,2024,3.8972242612504457,0.1300048974213187
midas_beta,2025,4.700130216891599,0.16029482347264087
midas_umidas,2017,3.3979805829501672,0.15228164347236686
midas_umidas,2018,3.587995624017128,0.17948021964913033
midas_umidas,2019,2.358915630088836,0.10708887219672641
midas_umidas,2020,2.993308727558969,0.11594936468166048
midas_umidas,2021,4.469546430797238,0.2065653130384021
midas_umidas,2022,4.566862043386966,0.14807894472589392
midas_umidas,2023,6.050068437535791,0.21024604093279112
midas_umidas,2024,5.541683849991718,0.1969320391735367
midas_umidas,2025,4.518884499423039,0.15593948473460076
naive_prev_year,2017,3.1835616438356165,0.13644116116329374
naive_prev_year,2018,3.408219178082192,0.1583516574813323
naive_prev_year,2019,3.083333333333333,0.11961310327683711
naive_prev_year,2020,4.1194444444444445,0.1514305671693226
naive_prev_year,2021,5.456338028169014,0.24067682592086295
naive_prev_year,2022,6.62789856113743,0.2265938705229758
naive_prev_year,2023,4.004950755889226,0.15817103104916785
naive_prev_year,2024,5.622092435327818,0.19949091130785304
naive_prev_year,2025,6.296797055655708,0.2033644129554153
seasonal_within,2017,3.472410134830258,0.15946278509191933
seasonal_within,2018,3.4319926341578557,0.17291488235749575
seasonal_within,2019,2.970519656684017,0.13345686219458577
seasonal_within,2020,3.453092986648635,0.12797215339299914
seasonal_within,2021,4.308338621829936,0.2083112914769391
seasonal_within,2022,4.299631659828819,0.14898215559483854
seasonal_within,2023,8.665718609267067,0.3732972596178457
seasonal_within,2024,3.7181357453659722,0.13209490221473075
seasonal_within,2025,4.746778997009048,0.162271484385702
